RNES00601	Road Runner (USA) (Unl)
RNES00602	RoadBlasters (USA)
RNES00603	Robin Hood - Prince of Thieves (USA) (Rev A)
RNES00604	Robo Warrior (USA)
RNES00605	RoboCop (USA)
RNES00606	RoboCop 2 (USA) (Rev A)
RNES00607	RoboCop 3 (USA)
RNES00608	Robodemons (USA) (Unl)
RNES00609	Rock 'n' Ball (USA)
RNES00610	Rocket Ranger (USA)
RNES00611	Rocketeer, The (USA)
RNES00612	Rockin' Kats (USA)
RNES00613	Rod Land (Europe)
RNES00614	Roger Clemens' MVP Baseball (USA)
RNES00615	Rollerball (USA)
RNES00616	Rollerblade Racer (USA)
RNES00617	Rollergames (USA)
RNES00618	Rolling Thunder (USA) (Unl)
RNES00619	Romance of the Three Kingdoms (USA)
RNES00620	Romance of the Three Kingdoms II (USA)
RNES00621	Roundball - 2-on-2 Challenge (USA)
RNES00622	Rush'n Attack (USA)
RNES00623	Rygar (USA) (Rev A)
RNES00624	S.C.A.T. - Special Cybernetic Attack Team (USA)
RNES00625	Secret Scout in the Temple of Demise (USA) (Unl)
RNES00626	Section-Z (USA)
RNES00627	Seicross (USA)
RNES00628	Sesame Street - Big Bird's Hide & Speak (USA)
RNES00629	Sesame Street 123 (USA)
RNES00630	Sesame Street ABC (USA)
RNES00631	Sesame Street ABC & 123 (USA)
RNES00632	Sesame Street Countdown (USA)
RNES00633	Shadow of the Ninja (USA)
RNES00634	Shadowgate (USA)
RNES00635	Shatterhand (USA)
RNES00636	Shingen the Ruler (USA)
RNES00637	Shinobi (USA) (Unl)
RNES00638	Shockwave (USA) (Unl)
RNES00639	Shooting Range (USA)
RNES00640	Short Order + Egg-Splode! (USA)
RNES00641	Side Pocket (USA)
RNES00642	Silent Assault (USA) (Unl)
RNES00643	Silent Service (USA) (Rev A)
