RSNES0382	Hyper V-Ball (USA)
RSNES0383	HyperZone (USA)
RSNES0384	Ignition Factor, The (USA)
RSNES0385	Illusion of Gaia (USA)
RSNES0386	Imperium (USA)
RSNES0387	Incantation (USA)
RSNES0388	Incredible Crash Dummies, The (USA)
RSNES0389	Incredible Hulk, The (USA)
RSNES0390	Indiana Jones' Greatest Adventures (Europe)
RSNES0391	Indiana Jones' Greatest Adventures (USA)
RSNES0392	Inindo - Way of the Ninja (USA)
RSNES0393	Inspector Gadget (USA)
RSNES0394	International Superstar Soccer (Europe)
RSNES0395	International Superstar Soccer (USA)
RSNES0396	International Superstar Soccer Deluxe (Europe)
RSNES0397	International Superstar Soccer Deluxe (USA)
RSNES0398	International Tennis Tour (USA)
RSNES0399	Irem Skins Game, The (USA)
RSNES0400	Itchy & Scratchy Game, The (USA)
RSNES0401	Izzy's Quest for the Olympic Rings (USA)
RSNES0402	J.R.R. Tolkien's The Lord of the Rings - Volume 1 (USA)
RSNES0403	J.R.R. Tolkien's The Lord of the Rings - Volume One (USA)
RSNES0404	Jack Nicklaus Golf (USA)
RSNES0405	James Bond Jr (USA)
RSNES0406	Jammit (USA)
RSNES0407	Jelly Boy (Europe)
RSNES0408	Jeopardy! - Deluxe Edition (USA)
RSNES0409	Jeopardy! - Sports Edition (USA)
RSNES0410	Jeopardy! (USA)
RSNES0411	Jetsons, The - Invasion of the Planet Pirates (USA)
RSNES0412	Jim Lee's WildC.A.T.S - Covert Action Teams (USA)
RSNES0413	Jim Power - The Lost Dimension in 3D (USA)
RSNES0414	Jimmy Connors Pro Tennis Tour (USA)
RSNES0415	Jimmy Houston's Bass Tournament U.S.A. (USA)
RSNES0416	Joe & Mac (USA)
RSNES0417	Joe & Mac 2 - Lost in the Tropics (USA)
RSNES0418	John Madden Football '93 (USA) (Rev 1)
RSNES0419	John Madden Football '93 (USA)
RSNES0420	John Madden Football (USA)
RSNES0421	JoJo's Bizarre Adventure (USA) (Alt)
RSNES0422	JoJo's Bizarre Adventure (USA) (Alt2)
RSNES0423	JoJo's Bizarre Adventure (USA)
RSNES0424	Judge Dredd (USA)
RSNES0425	Jungle Book, The (USA)
RSNES0426	Jungle Strike (USA)
RSNES0427	Jurassic Park (Europe)
RSNES0428	Jurassic Park (USA) (Rev 1)
RSNES0429	Jurassic Park (USA)
RSNES0430	Jurassic Park II - The Chaos Continues (USA)
RSNES0431	Justice League Task Force (USA)
RSNES0432	Kablooey (USA)
RSNES0433	Kawasaki Caribbean Challenge (USA)
RSNES0434	Kawasaki Superbike Challenge (USA)
RSNES0435	Ken Griffey Jr. Presents Major League Baseball (USA)
RSNES0436	Ken Griffey Jr.'s Winning Run (USA)
RSNES0437	Kendo Rage (USA)
RSNES0438	Kevin Keegan's Player Manager (Europe)
RSNES0439	Kick Off (Europe)
RSNES0440	Kick Off 3 - European Challenge (Europe)
RSNES0441	Kid Klown in Crazy Chase (USA)
RSNES0442	Killer Instinct (USA) (Rev 1)
RSNES0443	Killer Instinct (USA)
RSNES0444	King Arthur & The Knights of Justice (USA)
RSNES0445	King Arthur's World (Europe)
RSNES0446	King Arthur's World (USA)
RSNES0447	King of Demons (USA)
RSNES0448	King of Dragons, The (USA)
RSNES0449	King of the Monsters (USA)
RSNES0450	King of the Monsters 2 (USA)
RSNES0451	Kirby Super Star (USA)
RSNES0452	Kirby's Avalanche (USA)
RSNES0453	Kirby's Dream Course (USA)
RSNES0454	Kirby's Dream Land 3 (USA)
RSNES0455	Knights of the Round (USA)
RSNES0456	Krusty's Super Fun House (USA) (Rev 1)
RSNES0457	Krusty's Super Fun House (USA)
RSNES0458	Kyle Petty's No Fear Racing (USA)
RSNES0459	Lagoon (USA)
RSNES0460	Lamborghini American Challenge (USA)
RSNES0461	Last Action Hero (USA)
RSNES0462	Lawnmower Man, The (USA)
RSNES0463	Legend (USA)
RSNES0464	Legend of the Mystical Ninja, The (Europe)
RSNES0465	Legend of the Mystical Ninja, The (USA)
RSNES0466	Legend of Zelda, The - A Link to the Past (UK)
RSNES0467	Legend of Zelda, The - A Link to the Past (USA)
RSNES0468	Legend of Zelda, The - Goddess of Wisdom (USA) (Hack) (Alt)
