RBGO00329	FIFA Soccer '97 (USA, Europe)
RBGO00330	Fighting Simulator - 2 in 1 Flying Warriors (USA, Europe)
RBGO00331	Fighting Simulator 2 in 1 (USA, Europe)
RBGO00332	Final Fantasy Adventure (USA)
RBGO00333	Final Fantasy Legend II (USA)
RBGO00334	Final Fantasy Legend III (USA)
RBGO00335	Final Fantasy Legend, The (USA)
RBGO00336	Final Reverse (Japan)
RBGO00337	Fire Dragon (Taiwan) (Unl)
RBGO00338	Fire Fighter (Europe)
RBGO00339	Fish Dude (USA)
RBGO00340	Fist of the North Star (USA)
RBGO00341	Flappy Special (Japan)
RBGO00342	Flash, The (USA, Europe)
RBGO00343	Flintstones, The - King Rock Treasure Island (USA, Europe)
RBGO00344	Flintstones, The (USA, Europe)
RBGO00345	Flipull (Japan)
RBGO00346	Flipull (USA)
RBGO00347	Football International (Europe)
RBGO00348	Foreman for Real (Japan)
RBGO00349	Foreman for Real (USA, Europe)
RBGO00350	Fortified Zone (USA, Europe)
RBGO00351	Frank Thomas Big Hurt Baseball (USA, Europe)
RBGO00352	Franky, Joe & Dirk... On the Tiles (Europe) (En,Fr,De,Es,It,Nl)
RBGO00353	Franky, Joe & Dirk... On the Tiles (Europe)
RBGO00354	Frisky Tom (Japan)
RBGO00355	Frogger (USA)
RBGO00356	Fushigi na Blobby - Princess Blob o Sukue! (Japan)
RBGO00357	Galaga & Galaxian (USA)
RBGO00358	Game & Watch Gallery (USA) (Rev A)
RBGO00359	Game & Watch Gallery (USA)
RBGO00360	Game & Watch Gallery 2 (USA)
RBGO00361	Game Boy Gallery (Europe)
RBGO00362	Game Boy Gallery (Japan) (SGB Enhanced)
RBGO00363	Game Boy Gallery 2 (Australia)
RBGO00364	Game Boy Gallery 2 (Japan)
RBGO00365	Game Boy Wars (Japan)
RBGO00366	Game Boy Wars Turbo (Japan) (SGB Enhanced)
RBGO00367	Game Boy Wars Turbo (Japan) (Translated En)
RBGO00368	Game of Harmony, The (USA)
RBGO00369	Gamera - Daikaijuu Kuuchuu Kessen (Japan) (Translated En)
RBGO00370	Ganbare Goemon - Sarawareta Ebisumaru (Japan)
RBGO00371	Ganso!! Yancha Maru (Japan)
RBGO00372	Garfield Labyrinth (Europe)
RBGO00373	Gargoyle's Quest (USA, Europe)
RBGO00374	Gauntlet II (USA, Europe)
RBGO00375	GB Genjin Land - Viva! Chikkun Oukoku (Japan)
RBGO00376	Gear Works (USA, Europe)
RBGO00377	Gem Gem (Japan)
RBGO00378	Genjin Cottsu (Japan)
RBGO00379	Genki Bakuhatsu Gambaruger (Japan)
RBGO00380	George Foreman's KO Boxing (USA, Europe)
RBGO00381	Getaway, The (USA)
RBGO00382	Ghostbusters II (Japan)
RBGO00383	Ghostbusters II (USA, Europe)
RBGO00384	Ginga (Japan)
RBGO00385	Go Go Ackman (Japan)
RBGO00386	Go! Go! Tank (Japan)
RBGO00387	Go! Go! Tank (USA)
RBGO00388	Goal! (Europe)
RBGO00389	Goal! (USA)
RBGO00390	God Medicine - Hukkoku Ban (Japan) (Translated En)
RBGO00391	Godzilla (USA, Europe)
