RN6400299	Legend of Zelda, The - Ocarina of Time - Master Quest (Europe) (Debug Version)
RN6400300	Legend of Zelda, The - Ocarina of Time - Master Quest (Europe) (GameCube)
RN6400301	Legend of Zelda, The - Ocarina of Time - Master Quest (USA) (GameCube)
RN6400302	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev 1)
RN6400303	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De)
RN6400304	Legend of Zelda, The - Ocarina of Time (Europe) (GameCube)
RN6400305	Legend of Zelda, The - Ocarina of Time (USA) (GameCube)
RN6400306	Legend of Zelda, The - Ocarina of Time (USA) (Rev 1)
RN6400307	Legend of Zelda, The - Ocarina of Time (USA) (Rev 2)
RN6400308	Legend of Zelda, The - Ocarina of Time (USA)
RN6400309	LEGO Racers (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
RN6400310	LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
RN6400311	LEGO Racers (USA)
RN6400312	Lode Runner 3-D (Europe) (En,Fr,De,Es,It)
RN6400313	Lode Runner 3-D (USA)
RN6400314	Lylat Wars (Australia) (En,Fr,De)
RN6400315	Lylat Wars (Europe) (En,Fr,De)
RN6400316	Lylat Wars (Europe)
RN6400317	Mace - The Dark Age (Europe)
RN6400318	Mace - The Dark Age (USA)
RN6400319	Madden Football 64 (Europe)
RN6400320	Madden Football 64 (USA)
RN6400321	Madden NFL 2000 (USA)
RN6400322	Madden NFL 2001 (USA)
RN6400323	Madden NFL 2002 (USA)
RN6400324	Madden NFL 99 (Europe)
RN6400325	Madden NFL 99 (USA)
RN6400326	Magical Tetris Challenge (Europe)
RN6400327	Magical Tetris Challenge (Germany)
RN6400328	Magical Tetris Challenge (USA)
RN6400329	Major League Baseball featuring Ken Griffey Jr. (Australia)
RN6400330	Major League Baseball featuring Ken Griffey Jr. (USA)
RN6400331	Mario Golf (Europe)
RN6400332	Mario Golf (USA)
RN6400333	Mario Kart 64 (Europe) (Rev 1)
RN6400334	Mario Kart 64 (Europe)
RN6400335	Mario Kart 64 (USA)
RN6400336	Mario Party (Europe) (En,Fr,De)
RN6400337	Mario Party (USA)
RN6400338	Mario Party 2 (Europe) (En,Fr,De,Es,It)
RN6400339	Mario Party 2 (USA)
RN6400340	Mario Party 3 (Europe) (En,Fr,De,Es)
RN6400341	Mario Party 3 (USA)
RN6400342	Mario Tennis (Europe)
RN6400343	Mario Tennis (USA)
RN6400344	Mega Man 64 (USA) (Beta)
RN6400345	Mega Man 64 (USA)
RN6400346	Mia Hamm Soccer 64 (USA) (En,Es)
RN6400347	Mia Hamm Soccer 64 (USA)
RN6400348	Michael Owen's WLS 2000 (Europe)
RN6400349	Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)
RN6400350	Mickey's Speedway USA (USA)
RN6400351	Micro Machines 64 Turbo (Europe) (En,Fr,De,Es,It)
RN6400352	Micro Machines 64 Turbo (USA)
RN6400353	Midway's Greatest Arcade Hits - Volume 1 (USA)
RN6400354	Midway's Greatest Arcade Hits Vol. 1 (USA)
RN6400355	Mike Piazza's Strike Zone (USA)
RN6400356	Mike Piazza's StrikeZone (USA)
RN6400357	Milo's Astro Lanes (Europe)
RN6400358	Milo's Astro Lanes (USA)
RN6400359	Mischief Makers (Europe)
RN6400360	Mischief Makers (USA) (Rev 1)
RN6400361	Mischief Makers (USA)
RN6400362	Mission - Impossible (Europe)
RN6400363	Mission - Impossible (France)
RN6400364	Mission - Impossible (Germany)
RN6400365	Mission - Impossible (Italy)
RN6400366	Mission - Impossible (Spain)
RN6400367	Mission - Impossible (USA)
RN6400368	Mission Impossible (USA)
RN6400369	Monaco Grand Prix - Racing Simulation 2 (Europe) (En,Fr,Es,It)
RN6400370	Monaco Grand Prix (USA)
RN6400371	Monopoly (USA)
RN6400372	Monster Truck Madness 64 (Europe) (En,Fr,De,Es,It)
RN6400373	Monster Truck Madness 64 (USA)
RN6400374	Mortal Kombat 4 (Europe)
RN6400375	Mortal Kombat 4 (USA)
RN6400376	Mortal Kombat Mythologies - Sub-Zero (Europe)
RN6400377	Mortal Kombat Mythologies - Sub-Zero (USA)
RN6400378	Mortal Kombat Trilogy (Europe)
RN6400379	Mortal Kombat Trilogy (USA) (Rev 1)
RN6400380	Mortal Kombat Trilogy (USA) (Rev 2)
RN6400381	Mortal Kombat Trilogy (USA)
RN6400382	MRC - Multi Racing Championship (USA)
RN6400383	MRC - Multi-Racing Championship (Europe) (En,Fr,De)
RN6400384	MRC - Multi-Racing Championship (USA)
RN6400385	Ms. Pac-Man - Maze Madness (USA)
RN6400386	Mystical Ninja 2 Starring Goemon (Europe) (En,Fr,De)
RN6400387	Mystical Ninja 2 Starring Goemon (Europe)
RN6400388	Mystical Ninja Starring Goemon (Europe)
RN6400389	Mystical Ninja Starring Goemon (USA)
RN6400390	Nagano Winter Olympics '98 (Europe)
RN6400391	Nagano Winter Olympics '98 (USA)
RN6400392	Namco Museum 64 (USA)
RN6400393	NASCAR 2000 (USA)
RN6400394	NASCAR 99 (Europe) (En,Fr,De)
RN6400395	NASCAR 99 (USA)
RN6400396	NBA Courtside 2 featuring Kobe Bryant (USA)
RN6400397	NBA Hangtime (Europe)
RN6400398	NBA Hangtime (USA)
RN6400399	NBA in the Zone '98 (USA)
RN6400400	NBA in the Zone '99 (USA)
RN6400401	NBA in the Zone 2000 (Europe)
RN6400402	NBA in the Zone 2000 (USA)
RN6400403	NBA Jam 2000 (Europe)
RN6400404	NBA Jam 2000 (USA)
RN6400405	NBA Jam 99 (Europe)
RN6400406	NBA Jam 99 (USA)
RN6400407	NBA Live 2000 (Europe) (En,Fr,De,Es)
RN6400408	NBA Live 2000 (USA) (En,Fr,De,Es)
RN6400409	NBA Live 2000 (USA)
RN6400410	NBA Live 99 (Europe) (En,Fr,De,Es,It)
RN6400411	NBA Live 99 (USA) (En,Fr,De,Es,It)
RN6400412	NBA Live 99 (USA)
RN6400413	NBA Pro 98 (Europe)
RN6400414	NBA Pro 99 (Europe)
RN6400415	NBA Showtime - NBA on NBC (USA)
RN6400416	New Tetris, The (Europe)
RN6400417	New Tetris, The (USA)
RN6400418	NFL Blitz - Special Edition (USA)
RN6400419	NFL Blitz (USA)
RN6400420	NFL Blitz 2000 (USA) (Rev 1)
RN6400421	NFL Blitz 2000 (USA)
RN6400422	NFL Blitz 2001 (USA)
RN6400423	NFL QB Club 2001 (USA)
RN6400424	NFL Quarterback Club 2000 (Europe)
RN6400425	NFL Quarterback Club 2000 (USA)
RN6400426	NFL Quarterback Club 2001 (USA)
RN6400427	NFL Quarterback Club 98 (Europe)
RN6400428	NFL Quarterback Club 98 (USA)
RN6400429	NFL Quarterback Club 99 (Europe)
RN6400430	NFL Quarterback Club 99 (USA)
RN6400431	NHL 99 (Europe) (En,De,Sv,Fi)
RN6400432	NHL 99 (USA)
RN6400433	NHL Blades of Steel '99 (USA)
RN6400434	NHL Breakaway 98 (Europe)
RN6400435	NHL Breakaway 98 (USA)
RN6400436	NHL Breakaway 99 (Europe)
RN6400437	NHL Breakaway 99 (USA)
RN6400438	NHL Pro 99 (Europe)
RN6400439	Nightmare Creatures (USA)
RN6400440	Nuclear Strike 64 (Europe) (En,Fr)
RN6400441	Nuclear Strike 64 (Germany)
RN6400442	Nuclear Strike 64 (USA)
RN6400443	O.D.T. (Europe) (En,Fr,De,Es,It) (Proto)
RN6400444	O.D.T. (USA) (En,Fr,Es) (Proto)
RN6400445	Off Road Challenge (Europe)
RN6400446	Off Road Challenge (USA)
RN6400447	Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev 1)
RN6400448	Ogre Battle 64 - Person of Lordly Caliber (USA)
RN6400449	Olympic Hockey 98 (Europe) (En,Fr,De,Es)
RN6400450	Olympic Hockey 98 (USA)
RN6400451	Olympic Hockey Nagano '98 (USA)
RN6400452	Operation WinBack (Europe) (En,Fr,De,Es,It)
RN6400453	Operation WinBack (Europe)
RN6400454	Paper Mario (Europe) (En,Fr,De,Es)
RN6400455	Paper Mario (USA)
RN6400456	Paperboy (Europe)
RN6400457	Paperboy (USA)
RN6400458	Penny Racers (Europe)
RN6400459	Penny Racers (USA)
RN6400460	Perfect Dark (Europe) (En,Fr,De,Es,It)
RN6400461	Perfect Dark (USA) (Rev 1)
RN6400462	Perfect Dark (USA)
RN6400463	PGA European Tour (USA)
